2017 NAICS Code,2017 NAICS Title,GHG,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,Reference USEEIO Code
486910,Pipeline Transportation of Refined Petroleum Products,All GHGs,"kg CO2e/2022 USD, purchaser price",1.619,0.0,1.619,486000
486990,All Other Pipeline Transportation,All GHGs,"kg CO2e/2022 USD, purchaser price",1.619,0.0,1.619,486000
562111,Solid Waste Collection,All GHGs,"kg CO2e/2022 USD, purchaser price",0.988,0.0,0.988,562000
562112,Hazardous Waste Collection,All GHGs,"kg CO2e/2022 USD, purchaser price",0.988,0.0,0.988,562000
562119,Other Waste Collection,All GHGs,"kg CO2e/2022 USD, purchaser price",0.988,0.0,0.988,562000
562211,Hazardous Waste Treatment and Disposal,All GHGs,"kg CO2e/2022 USD, purchaser price",0.988,0.0,0.988,562000
562212,Solid Waste Landfill,All GHGs,"kg CO2e/2022 USD, purchaser price",0.988,0.0,0.988,562000
562213,Solid Waste Combustors and Incinerators,All GHGs,"kg CO2e/2022 USD, purchaser price",0.988,0.0,0.988,562000
562219,Other Nonhazardous Waste Treatment and Disposal,All GHGs,"kg CO2e/2022 USD, purchaser price",0.988,0.0,0.988,562000
562910,Remediation Services,All GHGs,"kg CO2e/2022 USD, purchaser price",0.988,0.0,0.988,562000
562920,Materials Recovery Facilities,All GHGs,"kg CO2e/2022 USD, purchaser price",0.988,0.0,0.988,562000
562991,Septic Tank and Related Services,All GHGs,"kg CO2e/2022 USD, purchaser price",0.988,0.0,0.988,562000
562998,All Other Miscellaneous Waste Management Services,All GHGs,"kg CO2e/2022 USD, purchaser price",0.988,0.0,0.988,562000
